,Iy_1,Iy_2,Iy_3,PF_1,PF_2,PF_3,e_1,e_2,e_3,dIf_1,dIf_2,dIf_3,If
0,0,0,0,0,0,0,0,0,1,1,0,0,1.5630000000000002
1,0,0,0,0,0,0,0,0,1,1,0,0,1.5519999999999998
2,0,0,0,0,0,0,0,0,1,1,0,0,1.54
3,0,0,0,0,0,0,0,0,1,1,0,0,1.518
4,0,0,0,1,0,0,0,1,0,1,0,0,1.4969999999999999
5,0,0,0,1,0,0,0,1,0,1,0,0,1.4809999999999999
6,0,0,0,1,0,0,0,1,0,1,0,0,1.47
7,0,0,0,1,0,0,0,1,0,1,0,0,1.46
8,0,0,0,1,0,0,0,1,0,1,0,0,1.43
9,0,0,0,0,1,0,1,0,0,1,0,0,1.401
10,0,0,0,0,1,0,1,0,0,0,0,0,1.3719999999999999
11,0,0,0,0,1,0,1,0,0,0,0,0,1.345
12,0,0,0,0,1,0,1,0,0,0,0,0,1.318
13,0,0,0,0,0,1,0,0,0,0,0,0,1.278
14,0,0,0,0,0,1,0,0,0,0,0,0,1.237
15,0,0,0,0,0,1,0,0,0,0,0,0,1.217
16,0,0,0,0,0,1,0,0,0,0,0,0,1.217
17,0,0,0,0,0,1,0,0,0,0,0,0,1.217
18,0,0,0,0,0,0,0,0,1,1,0,0,1.577
19,0,0,0,0,0,0,0,0,1,0,1,0,1.594
20,0,0,0,0,0,0,0,0,1,0,1,0,1.6219999999999999
21,0,0,0,0,0,0,0,0,1,1,0,0,1.5490000000000002
22,0,0,0,1,0,0,0,1,0,1,0,0,1.565
23,0,0,0,1,0,0,0,1,0,1,0,0,1.49
24,0,0,0,1,0,0,0,1,0,1,0,0,1.505
25,0,0,0,1,0,0,0,1,0,1,0,0,1.5290000000000001
26,0,0,0,1,0,0,0,1,0,1,0,0,1.45
27,0,0,0,0,1,0,1,0,0,1,0,0,1.4569999999999999
28,0,0,0,0,1,0,1,0,0,0,0,0,1.3730000000000002
29,0,0,0,0,1,0,1,0,0,0,0,0,1.38
30,0,0,0,0,1,0,1,0,0,0,0,0,1.396
31,0,0,0,0,0,1,0,0,0,0,0,0,1.298
32,0,0,0,0,0,1,0,0,0,0,0,0,1.304
33,0,0,0,0,0,1,0,0,0,0,0,0,1.319
34,0,0,0,0,0,1,0,0,0,0,0,0,1.319
35,0,0,0,0,0,1,0,0,0,0,0,0,1.319
36,0,0,0,0,0,0,0,0,1,1,0,0,1.5730000000000002
37,0,0,0,0,0,0,0,0,1,0,1,0,1.589
38,0,0,0,0,0,0,0,0,1,0,1,0,1.6159999999999999
39,0,0,0,0,0,0,0,0,1,1,0,0,1.541
40,0,0,0,1,0,0,0,1,0,1,0,0,1.557
41,0,0,0,1,0,0,0,1,0,1,0,0,1.486
42,0,0,0,1,0,0,0,1,0,1,0,0,1.4980000000000002
43,0,0,0,1,0,0,0,1,0,1,0,0,1.518
44,0,0,0,1,0,0,0,1,0,1,0,0,1.4380000000000002
45,0,0,0,0,1,0,1,0,0,1,0,0,1.446
46,0,0,0,0,1,0,1,0,0,0,0,0,1.3630000000000002
47,0,0,0,0,1,0,1,0,0,0,0,0,1.369
48,0,0,0,0,1,0,1,0,0,0,0,0,1.382
49,0,0,0,0,0,1,0,0,0,0,0,0,1.2819999999999998
50,0,0,0,0,0,1,0,0,0,0,0,0,1.29
51,0,0,0,0,0,1,0,0,0,0,0,0,1.298
52,0,0,0,0,0,1,0,0,0,0,0,0,1.298
53,0,0,0,0,0,1,0,0,0,0,0,0,1.298
54,0,0,0,0,0,0,0,0,1,1,0,0,1.569
55,0,0,0,0,0,0,0,0,1,0,1,0,1.585
56,0,0,0,0,0,0,0,0,1,0,1,0,1.61
57,0,0,0,0,0,0,0,0,1,1,0,0,1.535
58,0,0,0,1,0,0,0,1,0,1,0,0,1.5490000000000002
59,0,0,0,1,0,0,0,1,0,1,0,0,1.483
60,0,0,0,1,0,0,0,1,0,1,0,0,1.492
61,0,0,0,1,0,0,0,1,0,1,0,0,1.508
62,0,0,0,1,0,0,0,1,0,1,0,0,1.43
63,0,0,0,0,1,0,1,0,0,1,0,0,1.435
64,0,0,0,0,1,0,1,0,0,0,0,0,1.354
65,0,0,0,0,1,0,1,0,0,0,0,0,1.361
66,0,0,0,0,1,0,1,0,0,0,0,0,1.368
67,0,0,0,0,0,1,0,0,0,0,0,0,1.271
68,0,0,0,0,0,1,0,0,0,0,0,0,1.275
69,0,0,0,0,0,1,0,0,0,0,0,0,1.278
70,0,0,0,0,0,1,0,0,0,0,0,0,1.278
71,0,0,0,0,0,1,0,0,0,0,0,0,1.278
