Iy_1,PF_1,e_1,dIf_1,If
0,0,1,0,1.5630000000000002
0,0,1,0,1.5519999999999998
0,0,1,0,1.54
0,0,1,0,1.518
0,0,1,0,1.4969999999999999
0,0,1,0,1.4809999999999999
0,0,1,0,1.47
0,0,1,0,1.46
0,0,1,0,1.43
0,1,0,0,1.401
0,1,0,0,1.3719999999999999
0,1,0,0,1.345
0,1,0,0,1.318
0,1,0,0,1.278
0,1,0,0,1.237
0,1,0,0,1.217
0,1,0,0,1.217
0,1,0,0,1.217
0,0,1,0,1.577
0,0,1,1,1.594
0,0,1,1,1.6219999999999999
0,0,1,0,1.5490000000000002
0,0,1,0,1.565
0,0,1,0,1.49
0,0,1,0,1.505
0,0,1,0,1.5290000000000001
0,0,1,0,1.45
0,1,0,0,1.4569999999999999
0,1,0,0,1.3730000000000002
0,1,0,0,1.38
0,1,0,0,1.396
0,1,0,0,1.298
0,1,0,0,1.304
0,1,0,0,1.319
0,1,0,0,1.319
0,1,0,0,1.319
0,0,1,0,1.5730000000000002
0,0,1,1,1.589
0,0,1,1,1.6159999999999999
0,0,1,0,1.541
0,0,1,0,1.557
0,0,1,0,1.486
0,0,1,0,1.4980000000000002
0,0,1,0,1.518
0,0,1,0,1.4380000000000002
0,1,0,0,1.446
0,1,0,0,1.3630000000000002
0,1,0,0,1.369
0,1,0,0,1.382
0,1,0,0,1.2819999999999998
0,1,0,0,1.29
0,1,0,0,1.298
0,1,0,0,1.298
0,1,0,0,1.298
0,0,1,0,1.569
0,0,1,1,1.585
0,0,1,1,1.61
0,0,1,0,1.535
0,0,1,0,1.5490000000000002
0,0,1,0,1.483
0,0,1,0,1.492
0,0,1,0,1.508
0,0,1,0,1.43
0,1,0,0,1.435
0,1,0,0,1.354
0,1,0,0,1.361
0,1,0,0,1.368
0,1,0,0,1.271
0,1,0,0,1.275
0,1,0,0,1.278
0,1,0,0,1.278
0,1,0,0,1.278
0,0,1,0,1.565
0,0,1,0,1.5819999999999999
0,0,1,1,1.604
0,0,1,0,1.525
0,0,1,0,1.541
0,0,1,0,1.479
0,0,1,0,1.486
0,0,1,0,1.4969999999999999
0,0,1,0,1.4180000000000001
0,1,0,0,1.425
0,1,0,0,1.344
0,1,0,0,1.35
0,1,0,0,1.354
0,1,0,0,1.254
0,1,0,0,1.26
0,1,0,0,1.2570000000000001
0,1,0,0,1.2570000000000001
0,1,0,0,1.2570000000000001
0,0,1,0,1.5519999999999998
0,0,1,0,1.575
0,0,1,1,1.598
0,0,1,0,1.508
